numero,existe_en_cndc,titulo,dictamen,resolucion,fecha,pdf_url
1307,SI,"INSURANCE GLOBAL INVESTMENTS S.A., INDALO PETRÓLEO E INVERSIONES S.A., ASSICURAZIONI GENERALI S.p.A Y CAJA DE SEGUROS S.A Conc. (i) 1299 (ii)1307",conc 1299 y 1307.pdf,10,109,https://cndc.produccion.gob.ar/sites/default/files/cndcfiles/conc 1299 y 1307.pdf
1322,SI,HOLDING SEMILLAS S.A y GAMBA S.A S/ NOTIFICACiÓN ART. 8 DE LA LEY N&quot; 25.156 (CONC. 1322),CONC-1322.pdf,1323,296,https://cndc.produccion.gob.ar/sites/default/files/cndcfiles/CONC-1322.pdf
1322,SI,HOLDING SEMILLAS S.A. Y GAMBA S.A. Concentración 1322,conc 1322.pdf,1322,293,https://cndc.produccion.gob.ar/sites/default/files/cndcfiles/conc 1322.pdf
1329,SI,WEST PORT INNOVATIONS Y FUEL SYSTEMS SOLUTIONS Concentracion 1329,1373.pdf,1373,463,https://cndc.produccion.gob.ar/sites/default/files/cndcfiles/1373.pdf
1334,SI,"INVERCLUB S.A., RICARDO OSCAR BENEDICTO, CRISTÓBAL MANUEL LÓPEZ, NAZARENO CRISTÓBAL LÓPEZ Y. NAZARENO LÓPEZ S/NOTIFICACiÓN ART. 8° DE LA LEY W 25.156 (CONC. 1334)",CONC-1334.pdf,1327,323,https://cndc.produccion.gob.ar/sites/default/files/cndcfiles/CONC-1334.pdf
1335,SI,VIVENDI S.A. Y GAMELOFT S.E. S/NOTIFICACIÓN ART. 8 DE LA LEY 25.156 (Conc. 1335),CONC-1335.pdf,1335,393,https://cndc.produccion.gob.ar/sites/default/files/cndcfiles/CONC-1335.pdf
1336,SI,SANOFI Y BOEHRINGER INGELHEIM INTERNATIONAL Concentracion 1336,1380.pdf,1380,480,https://cndc.produccion.gob.ar/sites/default/files/cndcfiles/1380.pdf
1359,SI,HIGH LUCK GROUP LIMITED E YPF S.A. S/NOTIFICACIÓN ART. 8 LEY 25156 (CONC. 1359),1359.pdf,1375,487,https://cndc.produccion.gob.ar/sites/default/files/cndcfiles/1359.pdf
1376,SI,IMS HEALTH HOLDINGS Y QUINTILES TRANSNATINAL HOLDINGS Concentracion 1376,1368.pdf,1368,453,https://cndc.produccion.gob.ar/sites/default/files/cndcfiles/1368.pdf
1388,SI,“PAMPA ENERGÍA S.A. Y PETROBRAS INTERNATIONAL BRASPETRO B.V. S/NOTIFICACIÓN ART. 8 DE LA LEY N° 25.156 (CONC. 1346)” y “PETROBRAS INTERNATIONAL BRASPETRO B.V. Y PETROBRAS ARGENTINA S.A. S/ NOTIFICACIÓN ART. 8 LEY 25.156 (CONC. 1388)”.,CONC 1346.pdf,38056898,18,https://cndc.produccion.gob.ar/sites/default/files/cndcfiles/CONC 1346.pdf
1444,NO,,,,,
1458,NO,,,,,
1472,NO,,,,,
1473,NO,,,,,
1478,NO,,,,,
1483,NO,,,,,
1484,NO,,,,,
1485,NO,,,,,
1488,NO,,,,,
1489,NO,,,,,
1500,NO,,,,,
1529,NO,,,,,
1548,NO,,,,,
1552,NO,,,,,
1591,NO,,,,,
1663,NO,,,,,
1675,NO,,,,,
1696,NO,,,,,
1711,NO,,,,,
1712,NO,,,,,
1736,NO,,,,,
1750,NO,,,,,
1762,NO,,,,,
1773,NO,,,,,
1777,NO,,,,,
1785,NO,,,,,
1802,NO,,,,,
1815,NO,,,,,
1820,NO,,,,,
1836,NO,,,,,
1841,NO,,,,,
1853,NO,,,,,
1856,NO,,,,,
1860,NO,,,,,
1880,NO,,,,,
1888,NO,,,,,
1893,NO,,,,,
1904,NO,,,,,
1906,NO,,,,,
1912,NO,,,,,
1950,NO,,,,,
1955,NO,,,,,
1961,NO,,,,,
1975,NO,,,,,
1981,SI,"(CONC 1981) PARSINA INVESTMENTS, S.L. S/NOTIFICACION ART. 9 DE LA LEY N° 27.442",CONC 1981 DISPO.pdf,,89,https://cndc.produccion.gob.ar/sites/default/files/cndcfiles/CONC 1981 DISPO.pdf
1985,SI,(CONC 1985) NEWSAN S.A. S/NOTIFICACION ART. 9 DE LA LEY 27.442,CONC. 1983 - Disposición.pdf,,103,https://cndc.produccion.gob.ar/sites/default/files/cndcfiles/CONC. 1983 - Disposición_0.pdf
1995,SI,(CONC. 1995) BROOKFIELD CL HOLDINGS LLC S/NOTIFICACIÓN ART. 9 DE LA LEY 27.442,CONC 1995 DISPO.pdf,,53,https://cndc.produccion.gob.ar/sites/default/files/cndcfiles/CONC 1995 DISPO.pdf
2001,SI,(CONC 2001) INVERSORA MERCEDES S.A. S/NOTIFICACION ART. 9 DE LA LEY N° 27.442,CONC 2001 - Disposición.pdf,,26,https://cndc.produccion.gob.ar/sites/default/files/cndcfiles/CONC 2001 - Disposición.pdf
2015,NO,,,,,
2016,SI,(CONC. 2016) WINTERSHALL DEA ARGENTINA S.A. Y TOTAL AUSTRAL S.A. S/NOTIFICACION ART. 9 DE LA LEY N° 27.442,CONC2016 Dispo AUT.pdf,,41,https://cndc.produccion.gob.ar/sites/default/files/cndcfiles/CONC2016 Dispo AUT.pdf
2017,SI,(CONC. 2017) TOTAL AUSTRAL S.A. Y PAN AMERICAN SUR S.A. S/NOTIFICACION ART. 9 DE LA LEY N° 27.442,CONC 2017 DISPOSICION.pdf,,37,https://cndc.produccion.gob.ar/sites/default/files/cndcfiles/CONC 2017 DISPOSICION.pdf
2019,SI,(CONC 2019) DEUTSCHE LUFTHANSA AG S/NOTIFICACION ART. 9 DE LA LEY 27.442.,CONC 2019.pdf,70136010,44,https://cndc.produccion.gob.ar/sites/default/files/cndcfiles/CONC 2019.pdf
2021,SI,(CONC. 2021) YPF S.A. S/NOTIFICACIÓN ART.9 DE LA LEY 27.442,CONC. 2021 - Disposición.pdf,,75,https://cndc.produccion.gob.ar/sites/default/files/cndcfiles/CONC. 2021 - Disposición.pdf
2026,NO,,,,,
2027,SI,(CONC.2027) RIO TINTO BM SUBSIDIARY LIMITED S/ NOTIFICACIÓN ART.9 DE LA LEY 27.442,DISPO CONC 2027.pdf,,67,https://cndc.produccion.gob.ar/sites/default/files/cndcfiles/DISPO CONC 2027.pdf
2028,SI,(CONC. 2028) EDISON HOLDING S.A. S/ NOTIFICACIÓN ART. 9 DE LA LEY N° 27.442,CONC. 2028 DISPOSICIÓN.pdf,,44,https://cndc.produccion.gob.ar/sites/default/files/cndcfiles/CONC. 2028 DISPOSICIÓN.pdf
2029,SI,(CONC 2029) YPF S.A. Y OLEODUCTO LOMA CAMPANA – LAGO PELLEGRINI S.A. S/ NOTIFICACION ART. 9 DE LA LEY N° 27.442,CONC. 2029 DISPO.pdf,,91,https://cndc.produccion.gob.ar/sites/default/files/cndcfiles/CONC. 2029 DISPO.pdf
2031,SI,(CONC 2031) COMPAÑIA GENERAL DE COMBUSTIBLES S.A. S/NOTIFICACION ART 9 DE LA LEY 27.442,CONC 2031 DISPOSICIÓN.pdf,,73,https://cndc.produccion.gob.ar/sites/default/files/cndcfiles/CONC 2031 DISPOSICIÓN.pdf
2040,NO,,,,,
2046,NO,,,,,
2055,NO,,,,,
2067,NO,,,,,
2068,NO,,,,,
2069,NO,,,,,
2071,NO,,,,,
2080,SI,(CONC 2080) BML INVERSORA S.A.U. (ORAZUL) S/NOTIFICACIÓN ART.9 DE LA LEY 27.442,CONC 2080.pdf,41041175,40,https://cndc.produccion.gob.ar/sites/default/files/cndcfiles/CONC 2080.pdf
2081,NO,,,,,
2085,NO,,,,,
2088,NO,,,,,
2090,NO,,,,,
2091,SI,"(CONC 2091) AZORRA AVIATION HOLDINGS, LLC S/NOTIFICACIÓN ART.9 DE LA LEY 27.442",CONC 2091 FIN.pdf,69225369,43,https://cndc.produccion.gob.ar/sites/default/files/cndcfiles/CONC 2091 FIN.pdf
2092,NO,,,,,
2093,NO,,,,,
2094,NO,,,,,
2095,NO,,,,,
2096,NO,,,,,
2097,NO,,,,,
2099,NO,,,,,
2100,NO,,,,,
2103,NO,,,,,
2104,NO,,,,,
2105,NO,,,,,
2106,NO,,,,,
2108,NO,,,,,
2109,NO,,,,,
2111,NO,,,,,
2112,NO,,,,,
2113,NO,,,,,
2114,NO,,,,,
2115,NO,,,,,
2116,NO,,,,,
2117,NO,,,,,
2118,NO,,,,,
2119,NO,,,,,
