expediente,pdf_path,fecha,caratula,id,motivo
1503,pdf/CONC-1503.pdf,16/03/2018,"DUBAI AEROSPACE ENTERPRISE (DAE) LTD, TERRA FIRMA HOLDINGS LIMITED Y CANADIAN PENSION PLAN INVESTMENT BOARD S/NOTIFICACIÓN ART. 8 DE LA LEY 25.156",58,404 archivo ausente
1553,pdf/CONC-1553.pdf,14/03/2018,KUMAGRO HOLDING S.A. Y ASOCIADOS DON MARIO S.A. S/NOTIFICACIÓN ART. 8 DE LA LEY 25.156.,57,404 archivo ausente
1554,pdf/CONC-1554.pdf,21/03/2018,"MARITO HOLDING S.A., LA CHELTO S.A., CHIMAR S.A. Y CORDIA S.A. S/NOTIFICACIÓN ART. 8 DE LA LEY 25.156.",59,404 archivo ausente
1606,pdf/CONC-1606.pdf,22/02/2019,"AMERICAN SECURITIES LLC Y PALLADIUM EQUITY PARTNERS II, LLC S/NOTIFICACIÓN ART. 8 DE LA LEY 25.156",195,404 archivo ausente
1663,pdf/INC-1663.pdf,05/02/2026,“INC. I CONC. 1663 – INCIDENTE DE CUMPLIMIENTO DE ORDEN DE DESINVERSIÓN CONC 1663”.,634,404 archivo ausente
1815,pdf/CONC-1815.pdf,05/09/2024,INGREDION ARGENTINA S.R.L. Y ARCOR S.A.I.C S/NOTIFICACIÓN ART 9 LEY N.° 27442,530,404 archivo ausente
1856,pdf/CONC-1856.pdf,31/05/2023,SCC POWER PLC S/NOTIFICACIÓN ART.9 DE LA LEY 27.442,444,404 archivo ausente
1860,pdf/CONC-1860.pdf,22/01/2026,“CONC.1860 – GEORGALOS HNOS. S.A.I.C.A. S/ NOTIFICACIÓN ART. 9 DE LA LEY N.° 27.442”.,625,404 archivo ausente
1867,pdf/CONC-1867.pdf,21/05/2024,"GERARDO LUIS BARTOLOMÉ, IGNACIO MARIO BARTOLOMÉ Y OTRO S/NOTIFICACIÓN ART.9 DE LA LEY 27.442",492,404 archivo ausente
1869,pdf/CONC-1869.pdf,15/05/2024,COMPAGNIE DE SAINT-GOBAIN S.A. S/ NOTIFICACION ART. 9 DE LA LEY 27.442,489,404 archivo ausente
1894,pdf/CONC-1894.pdf,04/09/2023,GE HEALTHCARE HOLDING LLC. S/NOTIFICACIÓN ART. 9 DE LA LEY 27.442,461,404 archivo ausente
1906,pdf/CONC-1906.pdf,04/10/2024,MIRGOR S.A.C.I.F.I.A. Y SAUCECO S.A. S/NOTIFICACIÓN ART. 9 DE LA LEY 27.442,537,404 archivo ausente
1937,pdf/CONC-1937.pdf,31/07/2024,Genclore International AG y Pan American Silver Corp. S/NOTIFICACIÓN ART. 9 DE LA LEY N° 27.442,514,404 archivo ausente
1945,pdf/CONC-1945.pdf,07/08/2024,TECHENERGY LITHIUM CANADA INC S/NOTIFICACION ART. 9 DE LA LEY 27.442,515,404 archivo ausente
1952,pdf/CONC-1952.pdf,28/01/2026,"""ENCOMPASS DIGITAL MEDIA HOLDINGS, LLC S/NOTIFICACIÓN ART. 9 DE LA LEY N.º 27.442 (CONC. 1952)"".",629,404 archivo ausente
1961,pdf/CONC-1961.pdf,05/05/2026,"""CMA CGM S.A. Y BOLLORÉ LOGISTICS SE S/ NOTIFICACIÓN ART. 9 DE LA LEY 27.442"" (CONC.1961)",666,404 archivo ausente
1962,pdf/CONC-1962.pdf,31/05/2024,Mercedes- Benz Camiones y Buses Argentina S.A.U. (Inmueble Av. del Libertador) S/NOTIFICACIÓN ART. 9 DE LA LEY N° 27.442.,498,404 archivo ausente
1965,pdf/CONC-1965.pdf,31/05/2024,"GIBSONHILL SPAIN, S.L. S/NOTIFICACION ART. 9 DE LA LEY 27.442.",499,404 archivo ausente
1985,pdf/CONC-1985.pdf,07/08/2024,NEWSAN S.A. S/NOTIFICACION ART. 9 DE LA LEY 27.442.,516,404 archivo ausente
1992,pdf/CONC-1992.pdf,30/09/2025,“GRAMON MILLET S.A. Y ATOMO S/NOTIFICACION ART. 9 DE LA LEY N.º 27.442. (CONC 1992)”,582,404 archivo ausente
2040,pdf/CONC-2040.pdf,15/05/2026,“GROBOCOPATEL HERMANOS SOCIEDAD ANONIMA S/ NOTIFICACION ART. 9 DE LA LEY N° 27.442” (CONC.2040).,668,404 archivo ausente
2047,pdf/CONC-2047.pdf,29/05/2026,"""BUENOS AIRES SERVICIOS DE SALUD (BASA) S.A. UTE S/ NOTIFICACIÓN ART. 9 DE LA LEY 27.442"" (CONC. 2047).",674,404 archivo ausente
2049,pdf/CONC-2049.pdf,11/06/2026,“MOLINOS FLORENCIA S.A.U. y TIENDAS GOURMET S.A.U. S/ NOTIFICACIÓN ART. 9 DE LA LEY 27.442 (CONC. 2049)”,677,404 archivo ausente
2055,pdf/CONC-2055.pdf,24/04/2026,"""NEWSAN S.A. Y NEW PGA S.R.L. S/ NOTIFICACIÓN ART. 9 DE LA LEY 27.442"" (CONC. 2055).",664,404 archivo ausente
2066,pdf/CONC-2066.pdf,18/06/2026,"""Swiss Medical S.A. S/ Notificación Art. 9 de la ley 27.442"" (CONC. 2066)",679,404 archivo ausente
2071,pdf/CONC-2071.pdf,20/05/2026,“IOCHPE-MAXION AUSTRIA GMBH S/ NOTIFICACIÓN ART. 9 DE LA LEY 27.442 (CONC 2071).”,669,404 archivo ausente
2078,pdf/CONC-2078.pdf,23/06/2026,"""SIEGFRIED S.A. (TELPRES) S/ NOTIFICACION ART. 9 DE LA LEY N° 27.442"" (CONC. 2078).",681,404 archivo ausente
2079,pdf/CONC-2079.pdf,22/06/2026,"""Agro Inversora Argentina S.A. y Asociación de Cooperativas Argentinas Cooperativa Limitada S/NOTIFICACION ART. 9 DE LA LEY N° 27.442” (CONC. 2079).",680,404 archivo ausente
2080,pdf/CONC-2080.pdf,23/04/2026,“BML Inversora S.A.U. (ORAZUL) S/ NOTIFICACIÓN ART. 9 DE LA LEY 27.442 (CONC 2080)”.,663,404 archivo ausente
2099,pdf/CONC-2099.pdf,21/05/2026,“LITHOS DESARROLLOS MINEROS S.A. S/ NOTIFICACIÓN ART. 9 DE LA LEY 27.442” (CONC 2099),671,404 archivo ausente
2101,pdf/CONC-2101.pdf,02/06/2026,"""SOCIEDAD ANÓNIMA IMPORTADORA Y EXPORTADORA DE LA PATAGONIA S/ NOTIFICACIÓN ART. 9 DE LA LEY 27.442"" (CONC. 2101)",675,404 archivo ausente
2102,pdf/CONC-2102.pdf,11/06/2026,"""YPF S.A. Y PLUSPETROL S.A. S/ NOTIFICACIÓN ART. 9 DE LA LEY 27.442"" (CONC 2102)",676,404 archivo ausente
2106,pdf/CONC-2106.pdf,15/05/2026,"“CABO VÍRGENES S.A. S/ NOTIFICACIÓN ART. 9 DE LA LEY 27.442"".",667,404 archivo ausente
2107,pdf/CONC-2107.pdf,12/06/2026,"""VISTA ENERGY S.A.U S/ NOTIFICACIÓN ART. 9 DE LA LEY 27.442"" (CONC 2107).",678,404 archivo ausente
2109,pdf/CONC-2109.pdf,27/05/2026,CONTINENTAL RESOURCES ARGENTINA S.A.U. S/ NOTIFICACIÓN ART. 9 DE LA LEY 27.442 (CONC 2109).,672,404 archivo ausente
2110,pdf/CONC-2110.pdf,26/06/2026,"""PECOM SERVICIOS ENERGÍA S.A.U. Y SAN BENITO UPSTREAM S.A.U S/ NOTIFICACIÓN ART. 9 DE LA LEY 27.442"" (CONC 2110).",683,404 archivo ausente
2123,pdf/CONC-2123.pdf,30/06/2026,"""AKZO NOBEL N.V. Y DE AXALTA COATING SYSTEMS LTD. S/ NOTIFICACIÓN ART. 9 DE LA LEY 27.442"" (CONC 2123).",684,404 archivo ausente
